0, 2.691850, 1.161252, 2.691850, 1.161252
1, 2.691850, 1.220629, 3.273958, 1.228798
2, 3.292187, 1.208213, 3.313301, 1.277287
3, 3.468509, 1.194389, 3.456847, 1.324144
4, 3.600751, 1.203162, 3.456847, 1.356910
5, 3.688912, 1.271401, 4.150000, 1.453225
6, 3.204026, 1.298210, 4.150000, 1.512557
7, 2.851382, 1.327967, 4.450000, 1.518561
8, 3.250000, 1.317301, 4.750000, 1.539117
9, 3.900000, 1.357269, 5.000000, 1.532178
10, 2.929100, 1.270038, 3.836976, 1.530147
11, 2.755585, 1.182569, 3.700000, 1.450432
12, 2.755585, 1.149413, 2.612037, 1.263722
13, 1.904734, 1.162497, 2.588706, 1.209154
14, 1.201041, 1.027294, 1.587740, 1.071282
15, 1.000000, 0.999989, 1.000000, 0.999989
