0, 4.365339, 1.435104, 4.365339, 1.435104
1, 4.684267, 1.526750, 4.345261, 1.497465
2, 4.684267, 1.503854, 4.075809, 1.500747
3, 3.532934, 1.473009, 3.485944, 1.526202
4, 3.315601, 1.506755, 3.584372, 1.625047
5, 3.574089, 1.552545, 4.330257, 1.690066
6, 3.857478, 1.537041, 4.338789, 1.698942
7, 3.574089, 1.526722, 7.415585, 1.619403
8, 3.148788, 1.470986, 5.185945, 1.645634
9, 3.718744, 1.478819, 4.931941, 1.550837
10, 3.432792, 1.361922, 3.000000, 1.471504
11, 3.360052, 1.240110, 3.000000, 1.431393
12, 3.388848, 1.197507, 3.000000, 1.285742
13, 2.156044, 1.183245, 3.100000, 1.273596
14, 1.492904, 1.031242, 1.492904, 1.024691
15, 1.000000, 1.000000, 1.000000, 1.000000
