0, 4.368353, 1.479013, 4.368353, 1.479013
1, 4.368353, 1.566735, 4.305672, 1.548766
2, 4.357567, 1.542947, 4.346993, 1.555013
3, 3.529941, 1.516805, 4.264351, 1.562161
4, 4.300333, 1.534215, 4.071804, 1.638382
5, 3.844562, 1.569854, 4.188727, 1.688746
6, 3.517826, 1.542901, 4.288374, 1.693239
7, 3.109183, 1.538972, 7.253146, 1.628099
8, 3.000000, 1.467753, 5.185204, 1.658629
9, 3.640664, 1.475178, 4.863634, 1.560887
10, 3.000000, 1.366133, 3.000000, 1.485518
11, 3.050585, 1.238802, 3.022103, 1.444958
12, 3.050585, 1.193857, 3.312875, 1.297055
13, 2.575512, 1.193559, 3.305014, 1.271332
14, 1.495381, 1.031683, 1.495381, 1.024968
15, 1.000000, 1.000000, 1.000000, 1.000000
